population,gdp,coal_consumption,oil_consumption,gas_consumption,fossil_fuel_consumption,solar_consumption,wind_consumption,hydro_consumption,renewables_consumption,electricity_generation,hydro_share_energy
,,,,,,,,,,368.65,
,,,,,,,,,,397.19,
,,,,,,,,,,422.82,
,,,,,,,,,,447.15,
,,,,,,,,,,484.94,
,,,,,,,,,,510.68,
,,,,,,,,,,534.67,
,,,,,,,,,,564.01,
,,,,,,,,,,590.18,
,,,,,,,,,,611.17,
,,,,,,,,,,672.26,
,,,,,,,,,,707.33,
,,,,,,,,,,761.3,
,,,,,,,,,,805.44,
,,,,,,,,,,849.73,
,,,,,,,,,,888.28,
,,,,,,,,,,959.65,
,,,,,,,,,,1005.47,
,,,,,,,,,,1064.06,
,,,,,,,,,,1117.11,
,,,,,,,,,,1104.82,
,,,,,,,,,,1154.08,
,,,,,,,,,,1225.2,
145067004.0,,,,,,,,,,,
145657208.0,,,,,,,,,,,
146256012.0,,,,,,,,,,,
146863516.0,,,,,,,,,,,
147479796.0,,,,,,,,,,,
148104957.0,,,,,,,,,,,
148713464.0,,,,,,,,,,,
149572638.0,,,,,,,,,,,
150861520.0,,,,,,,,,,,
152062212.0,,,,,,,,,,,
153693154.0,,,,,,,,,,,
155594335.0,,,,,,,,,,,
157523780.0,,,,,,,,,,,
159481926.0,,,,,,,,,,,
161469210.0,,,,,,,,,,,
163486087.0,,,,,,,,,,,
165533025.0,,,,,,,,,,,
167612506.0,,,,,,,,,,,
169924067.0,,,,,,,,,,,
171875191.0,,,,,,,,,,,
174050964.0,,,,,,,,,,,
176265430.0,,,,,,,,,,,
178512860.0,,,,,,,,,,,
180793768.0,,,,,,,,,,,
183108678.0,,,,,,,,,,,
185458104.0,,,,,,,,,,,
187842584.0,,,,,,,,,,,
190381812.0,,,,,,,,,,,
193306256.0,,,,,,,,,,,
195943401.0,,,,,,,,,,,
198975492.0,,,,,,,,,,,
202181814.0,,,,,,,,,,,
205448384.0,,,,,,,,,,,
208776384.0,,,,,,,,,,,
212172008.0,,,,,,,,,,,
215621479.0,,,,,,,,,,,
219141050.0,,,,,,,,,,,
223001287.0,,,,,,,,,,,
227549730.0,,,,,,,,,,,
232484439.0,,,,,,,,,,,
237586485.0,,,,,,,,,,,
242837870.0,,,,,,,,,,,
248245229.0,,,,,,,,,,,
253848117.0,,,,,,,,,,,
259631766.0,,,,,,,,,,,
265515596.0,,,,,,,,,,,
271429963.0,,,,,,,,,,,
277648583.0,,,,,,,,,,,
284288223.0,,,,,,,,,,,
291177974.0,,,,,,,,,,,
298334455.0,,,,,,,,,,,
305755585.0,,,,,,,,,,,
313466087.0,,,,,,,,,,,
321447378.0,,323.496,342.134,9.572,675.202,,0.0,41.119,41.119,,5.74
329658389.0,,323.122,370.45,10.698,704.27,,0.0,45.863,45.863,,6.114
338159967.0,,330.292,369.194,10.574,710.059,,0.0,47.876,47.876,,6.317
346980412.0,,343.513,390.366,10.717,744.596,,0.0,56.0,56.0,,6.995
356070643.0,,346.643,398.153,12.52,757.316,,0.0,65.352,65.352,,7.944
365450443.0,,360.757,435.027,15.549,811.332,,0.0,81.703,81.703,,9.149
375086296.0,,383.012,474.305,18.405,875.723,0.0,0.0,76.921,77.445,,8.07
384930776.0,,384.211,510.73,24.671,919.611,0.0,0.0,87.625,88.152,,8.695
395212420.0,,408.91,549.804,39.552,998.266,0.0,0.0,92.689,93.232,,8.492
406069208.0,,425.646,569.739,44.518,1039.903,0.0,0.0,105.467,106.026,,9.204
417556976.0,,451.08,597.671,53.638,1102.39,0.0,0.0,111.532,112.081,,9.184
429573262.0,,481.074,652.585,60.981,1194.641,0.0,0.0,123.595,124.186,,9.372
441701768.0,,491.698,695.195,68.234,1255.128,0.0,0.0,135.811,136.414,,9.76
454463053.0,,477.816,732.366,97.37,1307.552,0.0,0.0,136.929,137.552,,9.475
467976240.0,,507.247,771.175,148.843,1427.264,0.0,0.0,146.564,147.205,,9.309
481543145.0,,543.557,818.155,186.914,1548.626,0.0,0.0,142.857,143.518,,8.442
495655683.0,,635.799,885.493,228.491,1749.783,0.0,0.0,148.42,149.116,,7.816
510540596.0,,701.176,926.532,246.734,1874.441,0.0,0.0,148.459,149.213,,7.336
525335348.0,,713.246,964.704,271.275,1949.226,0.0,0.0,133.795,134.53,,6.421
540183119.0,,762.898,982.036,259.903,2004.837,0.0,0.0,131.556,132.303,,6.124
555652995.0,,787.166,1007.324,278.843,2073.333,0.0,0.0,146.222,147.081,258.986,6.541
571646786.0,,805.356,984.456,313.271,2103.083,0.0,0.0,151.236,153.209,270.11,6.629
588080029.0,,828.32,1038.56,323.384,2190.264,0.0,0.0,145.059,147.033,280.26,6.16
604511530.0,,890.161,1081.791,358.445,2330.396,0.0,0.0,158.475,160.359,295.296,6.287
621167964.0,,835.621,1117.556,371.471,2324.647,0.0,0.0,166.408,168.263,306.648,6.592
638157571.0,,877.678,1135.74,398.645,2412.063,0.0,0.0,169.301,171.758,318.776,6.492
655040869.0,,853.762,1141.671,401.636,2397.069,0.0,0.0,179.346,181.864,324.848,6.885
671931834.0,,858.831,1163.94,421.27,2444.041,0.0,0.0,171.092,173.722,327.871,6.471
689140286.0,,871.714,1175.885,412.644,2460.243,0.0,0.006,167.61,170.55,339.074,6.322
706488557.0,,894.448,1213.968,431.828,2540.244,0.0,0.016,170.311,172.937,351.334,6.214
724331972.0,,922.471,1255.875,461.243,2639.589,0.0,0.019,176.736,179.899,362.711,6.198
742765067.0,,935.228,1283.199,484.192,2702.619,0.0,0.021,184.269,188.198,382.159,6.301
761224818.0,,959.019,1323.631,474.476,2757.126,0.0,0.021,188.811,193.16,400.899,6.323
779908311.0,,937.039,1354.957,499.337,2791.333,0.0,0.022,197.098,202.477,406.459,6.5
799099611.0,,966.011,1404.469,504.02,2874.499,0.0,0.059,209.013,214.386,418.592,6.688
818952374.0,,963.73,1407.994,556.822,2928.547,0.035,0.519,222.531,230.317,420.55,6.963
839464127.0,,975.926,1422.895,634.636,3033.457,0.044,1.221,237.576,246.278,437.26,7.178
860611762.0,,934.422,1456.789,670.636,3061.847,0.049,1.295,248.178,257.338,462.34,7.402
882349569.0,,1017.048,1501.107,711.536,3229.692,0.058,1.553,239.477,249.881,485.21,6.813
904781595.0,,1119.162,1571.339,783.106,3473.607,0.071,2.214,251.336,263.56,515.27,6.659
927898412.0,,1039.073,1641.086,808.028,3488.187,0.084,2.235,254.379,266.151,535.65,6.72
951740562.0,,1054.097,1657.112,843.748,3554.957,0.108,2.426,261.918,276.333,557.87,6.788
976461747.0,,1071.633,1719.958,900.415,3692.005,0.143,2.873,269.185,282.796,583.29,6.72
1001981577.0,,1180.725,1806.778,935.503,3923.006,0.204,3.686,272.483,287.156,592.76,6.419
1028200528.0,,1176.002,1871.025,941.238,3988.265,0.268,4.438,278.046,294.066,595.5,6.441
1055233717.0,,1165.736,1950.049,981.42,4097.205,0.6,6.341,298.874,317.519,663.11,6.715
1082676070.0,,1147.93,1916.333,1061.593,4125.856,1.661,6.584,305.471,326.31,669.78,6.809
1110797495.0,,1119.282,2036.679,1147.735,4303.697,2.722,6.898,304.926,327.673,695.36,6.536
1140180888.0,,1131.415,2110.812,1170.619,4412.846,2.151,9.794,320.256,346.355,712.92,6.677
1170299297.0,,1184.301,2132.531,1203.41,4520.241,5.164,13.708,336.394,371.897,738.82,6.826
1201108186.0,,1120.459,2192.255,1326.687,4639.401,9.723,23.996,324.032,378.586,761.1,6.417
1232111820.0,,1186.439,2207.707,1371.489,4765.635,14.24,29.92,312.725,377.97,769.03,6.035
1263333997.0,,1185.35,2233.681,1450.059,4869.091,18.51,36.227,333.388,410.541,799.1,6.272
1295265310.0,,1164.702,2255.987,1544.472,4965.162,22.178,39.059,354.023,439.371,815.02,6.515
1327701380.0,,1230.668,2274.93,1551.534,5057.132,29.347,50.826,364.746,469.304,827.52,6.56
1360677453.0,,1178.545,2024.547,1536.929,4740.021,40.155,50.177,388.309,501.998,807.51,7.373
1393676724.0,,1159.794,2208.283,1684.705,5052.782,46.854,59.609,398.662,528.695,839.33,7.103
1426736614.0,,1103.578,2329.607,1625.038,5058.223,47.402,62.294,408.593,543.335,892.734,7.262
,,323.496,342.134,9.572,675.202,,0.0,41.119,41.119,,5.74
,,323.122,370.45,10.698,704.27,,0.0,45.863,45.863,,6.114
,,330.292,369.194,10.574,710.059,,0.0,47.876,47.876,,6.317
,,343.513,390.366,10.717,744.596,,0.0,56.0,56.0,,6.995
,,346.643,398.153,12.52,757.316,,0.0,65.352,65.352,,7.944
,,360.757,435.027,15.548,811.332,,0.0,81.703,81.703,,9.149
,,383.012,474.305,18.405,875.723,0.0,0.0,76.921,77.445,,8.07
,,384.211,510.73,24.671,919.611,0.0,0.0,87.625,88.152,,8.695
,,408.91,549.804,39.552,998.266,0.0,0.0,92.689,93.232,,8.492
,,425.646,569.739,44.518,1039.903,0.0,0.0,105.467,106.026,,9.204
,,451.08,597.671,53.638,1102.39,0.0,0.0,111.532,112.081,,9.184
,,481.074,652.585,60.981,1194.641,0.0,0.0,123.595,124.186,,9.372
,,491.698,695.195,68.234,1255.128,0.0,0.0,135.811,136.414,,9.76
,,477.816,732.366,97.37,1307.552,0.0,0.0,136.929,137.552,,9.475
,,507.247,771.175,148.843,1427.264,0.0,0.0,146.564,147.205,,9.309
,,543.557,818.155,186.914,1548.626,0.0,0.0,142.857,143.518,,8.442
,,635.799,885.493,228.491,1749.783,0.0,0.0,148.42,149.116,,7.816
,,701.176,926.532,246.734,1874.441,0.0,0.0,148.459,149.213,,7.336
,,713.246,964.704,271.275,1949.226,0.0,0.0,133.795,134.53,,6.421
,,762.898,982.036,259.903,2004.837,0.0,0.0,131.556,132.303,,6.124
,,787.166,1007.324,278.843,2073.333,0.0,0.0,146.222,147.081,258.986,6.541
,,805.356,984.456,313.271,2103.083,0.0,0.0,151.236,153.209,270.11,6.629
,,828.32,1038.56,323.384,2190.264,0.0,0.0,145.059,147.033,280.26,6.16
,,890.161,1081.791,358.445,2330.396,0.0,0.0,158.475,160.359,295.296,6.287
,,835.621,1117.556,371.471,2324.647,0.0,0.0,166.408,168.263,306.648,6.592
,,877.678,1135.74,398.645,2412.063,0.0,0.0,169.301,171.758,318.776,6.492
,,853.762,1141.671,401.636,2397.069,0.0,0.0,179.346,181.864,324.848,6.885
,,858.831,1163.94,421.27,2444.041,0.0,0.0,171.092,173.722,327.871,6.471
,,871.714,1175.885,412.644,2460.243,0.0,0.006,167.61,170.55,339.074,6.322
,,894.448,1213.968,431.828,2540.244,0.0,0.016,170.311,172.937,351.334,6.214
,,922.471,1255.875,461.243,2639.589,0.0,0.019,176.736,179.899,362.711,6.198
,,935.228,1283.199,484.192,2702.619,0.0,0.021,184.269,188.198,382.159,6.301
,,959.019,1323.631,474.476,2757.126,0.0,0.021,188.811,193.16,400.899,6.323
,,937.039,1354.956,499.337,2791.332,0.0,0.022,197.098,202.477,406.459,6.5
,,966.011,1404.469,504.02,2874.499,0.0,0.059,209.013,214.386,418.592,6.688
,,963.731,1407.994,556.822,2928.547,0.035,0.519,222.531,230.317,440.192,6.963
,,975.926,1422.895,634.636,3033.457,0.044,1.221,237.576,246.278,459.122,7.178
,,934.422,1456.789,670.636,3061.847,0.049,1.295,248.178,257.338,487.595,7.402
,,1017.048,1501.107,711.536,3229.692,0.058,1.553,239.477,249.881,509.054,6.813
,,1119.162,1571.339,783.106,3473.607,0.071,2.214,251.336,263.56,540.783,6.659
,,1039.073,1641.086,808.028,3488.187,0.084,2.235,254.379,266.151,560.426,6.72
,,1054.097,1657.112,843.748,3554.957,0.108,2.426,261.918,276.333,586.15,6.788
,,1071.633,1719.958,900.414,3692.005,0.143,2.873,269.185,282.796,610.692,6.72
,,1180.725,1806.778,935.503,3923.006,0.204,3.686,272.483,287.156,623.538,6.419
,,1176.002,1871.025,941.238,3988.265,0.268,4.438,278.046,294.066,630.107,6.441
,,1165.736,1950.049,981.42,4097.205,0.6,6.341,298.874,317.519,672.699,6.715
,,1147.93,1916.333,1061.593,4125.856,1.661,6.584,305.471,326.31,688.602,6.809
,,1119.282,2036.679,1147.735,4303.697,2.722,6.898,304.926,327.673,722.611,6.536
,,1131.415,2110.812,1170.619,4412.846,2.151,9.794,320.256,346.355,745.502,6.677
,,1184.301,2132.531,1203.41,4520.241,5.164,13.708,336.394,371.897,770.06,6.826
,,1120.459,2192.255,1326.687,4639.401,9.723,23.996,324.032,378.586,789.988,6.417
,,1186.439,2207.707,1371.489,4765.635,14.24,29.92,312.725,377.97,799.558,6.035
,,1185.35,2233.681,1450.059,4869.091,18.51,36.227,333.388,410.541,826.26,6.272
,,1164.702,2255.987,1544.472,4965.162,22.178,39.059,354.023,439.371,849.155,6.515
,,1230.668,2274.93,1551.534,5057.132,29.347,50.826,364.746,469.304,867.271,6.56
,,1178.545,2024.547,1536.928,4740.021,40.155,50.177,388.309,501.998,852.274,7.373
,,1159.794,2208.283,1684.705,5052.782,46.854,59.609,398.662,528.695,896.922,7.103
,,1103.578,2329.607,1625.038,5058.223,47.402,62.294,408.593,543.335,892.734,7.262
,,,,,,,,,,420.55,
,,,,,,,,,,437.26,
,,,,,,,,,,462.34,
,,,,,,,,,,485.21,
,,,,,,,,,,515.27,
,,,,,,,,,,535.65,
,,,,,,,,,,557.87,
,,,,,,,,,,583.29,
,,,,,,,,,,592.76,
,,,,,,,,,,595.5,
,,,,,,,,,,663.11,
,,,,,,,,,,669.78,
,,,,,,,,,,695.36,
,,,,,,,,,,712.92,
,,,,,,,,,,738.82,
,,,,,,,,,,761.1,
,,,,,,,,,,769.03,
,,,,,,,,,,799.1,
,,,,,,,,,,815.02,
,,,,,,,,,,827.52,
,,,,,,,,,,807.51,
,,,,,,,,,,839.33,
,,,,,,,,,,895.62,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
805974.0,873600000.0,,,,,,,,,,
813539.0,,,,,,,,,,,
821036.0,,,,,,,,,,,
828461.0,,,,,,,,,,,
835954.0,,,,,,,,,,,
843514.0,,,,,,,,,,,
851143.0,,,,,,,,,,,
858841.0,,,,,,,,,,,
866609.0,,,,,,,,,,,
874016.0,,,,,,,,,,,
881057.0,1086381952.0,,,,,,,,,,
887724.0,,,,,,,,,,,
894013.0,,,,,,,,,,,
899917.0,1161113984.0,,,,,,,,,,
905859.0,,,,,,,,,,,
911841.0,,,,,,,,,,,
917862.0,,,,,,,,,,,
923923.0,,,,,,,,,,,
929879.0,,,,,,,,,,,
935646.0,,,,,,,,,,,
941221.0,,,,,,,,,,,
946603.0,,,,,,,,,,,
